"","제목","내용","날짜","년","월","일","요일"
"1","괴작열전(怪作列傳) : 클레멘타인 - 왜 이 영화는 수많은 사람을...","바로 오늘 소개할 영화, [클레멘타인]입니다. 사실, 이 작품은 한국영화에 헐리우드의 대스타(였던) 스티븐 시걸이 출연한다고 해서 제작초기부터 화제를 불러모았던...",2007-11-14,2007,11,14,"수"
"2","영화 ""클레멘타인"" 저주받은 걸작으로 숭배해야 할까요?","이 영화'클레멘타인""에서 그의 진면목이 다소 희석되는 모습을 볼 수가 있습니다. 그래서 국내 영화팬들에게 무척이나 충격과 더불어서 공포(?)를 느꼈다고 전해 지고...",2010-12-16,2010,12,16,"목"
"3","전설의 영화 클레멘타인...그리고 똥꼬쇼","영화 제작비의 대부분을 스티븐 시걸님의 출연료로 탕진한 무시무시한 스케일. 클레멘타인을 본적이 있는가? 난 봤다. 정말 봤다. 구라 아니다. 어쨌든 중요한건 내가 이...",2008-11-05,2008,11,5,"수"
"4","명작 영화 -클레멘타인-","내가 보고 싶은 한국 영화 50선에 당당히 그 이름을 올린 클레멘타인 꼭 보고 말리라...... 그리고 클레멘타인...그후 1년뒤.. 안습.......ㅠㅠ",2007-05-17,2007,5,17,"목"
"5","마침내 본 전설의 영화 ""클레멘타인""(스포 유)","한국 영화사에 길이 남는 괴작들을 섭렵하기로 하고 가장 구하기 쉬운 클레멘타인을 봤다. 이미 이동준 똥꼬쇼로 검색하면 나올 것은 다 나오니 그외에 생각나는 것들....",2010-09-23,2010,9,23,"목"
"6","최악의 한국영화 소개. '클레멘타인'","반드시 낚고야 말겠다-고의적 만점 부여 현상 ▲ '집단 만점 부여' 현상에 시달린 영화 <클레멘타인> ⓒ2006 펄스타픽쳐스 '낚시', 혹은 '낚는다'는 표현이...",2007-06-13,2007,6,13,"수"
"7","유명한 네이버 영화에서도 8.99를 받은 그 영화!!! 클레멘타인","아 클레멘타인 이 영화를 보고 한동안 감동의 쓰나미에 젖어있을 때가 있었는데...ㅋㅋㅋ 이동준의 절제된 감정연기와 액션, 그리고 스티븐 시걸이 나오며, 아역으로...",2009-12-04,2009,12,4,"금"
"8","분노와 안타까움 느낀 영화, 클레멘타인","찍었다는 클레멘타인을 찾게 되었다. 영화 간판을 금방 내린거 보면 재미없는 건 당연할테고 비난이 많을거라 생각했는데 생각보다 높은 점수에 일단 네티즌 평가를...",2006-07-07,2006,7,7,"금"
"9","클레멘타인","제 가슴 속 영화에 있어서 1위 클레멘타인 2위 죽을래살래 입니다. 정말 이... 다시는 없을 우리나라에서 나왔다고는 생각되지도 않는 영화 클레멘타인!!!!!!!!!!...",2008-10-04,2008,10,4,"토"
"10","영화, 클레멘타인",""" 이 한 마디의 대사에 영화의 정체를 통렬하게 꿰뚫어 볼 수 있었을 뿐이었다. 이를테면 '아빠, 일어나!' 가 1분짜리 예고편에서 비중있는 대사로 나온다면 그 영화의...",2004-05-26,2004,5,26,"수"
"11","멱살, 잡혀보셨습니까? <클레멘타인>","영화 <클레멘타인>에 얽힌 이야깁니다. 이일, 저일 인연 닿는 대로 여러 직장을 전전하던 2004년 봄, 저는 작은 엔터테인먼트 회사에서 일하고 있었습니다. 제 고용인은...",2008-07-23,2008,7,23,"수"
"12","요즘 보는 만화 - 클레멘타인(19禁)","이것은 고행석 작가님의(아마도 꽤나 연세가 있으신 분인 것 같다.) 클레멘타인이라는 만화책입니다. 사실 나는 스티븐 시걸이 참여한 영화 클레멘타인을 찾다가 이...",2010-08-07,2010,8,7,"토"
"13","영화시사회 - 클레멘타인","충무로 대한극장에서 클레멘타인이라는 영화 시사회에 참석했었습니다. 문화에 관심이 많긴 하지만, 시간상 어려운점이 많기에... 이런 시사회참석의 시간들은 정말...",2004-06-05,2004,6,5,"토"
"14","[영화감상] 클레멘타인","03.05 [영화감상] 미션 임파서블 : 고스트 프로토콜 (0) 2012.01.03 [영화감상] 도가니 (0) 2011.10.28 [영화감상] 최종병기 활 (0) 2011.09.05 [영화감상] 클레멘타인 (8) 2010.04.23",2010-04-23,2010,4,23,"금"
"15","클레멘타인 - 제대로 망한 영화!!","클레멘타인 감독 김두영 출연 이동준, 김혜리, 스티븐 시걸, 은서우 개봉 2004... 남는 영화...-_-;; 그 외에는 정말 졸작에 그지없었다. 로맨스로도,,액션으로도 어느것...",2006-11-25,2006,11,25,"토"
"16","[한국/미국] 클레멘타인 (Clementine, 2004)","이 같은 최초의 캐스팅, 최초의 공동제작, 최초의 동시배급을 한꺼번에 일구어낸 영화 <클레멘타인>은 한국영화도 미국 시장의 심장부에 진입할 수 있다는 가능성을...",2004-07-04,2004,7,4,"일"
"17","클레멘타인 성지순례","난 아직도 못본이들에 꼭 권하고 싶은 영화는 클레멘 타인이다. 스포일러는 못하겠고 . 물론 스포일러해도 영화 전개성이 워낙 뛰어나다보니 상관없지만.. 되도록이면...",2009-08-26,2009,8,26,"수"
"18","Oh my darling clementine(클레멘타인)-자막","나의 사랑 클레멘타인...'뿐이다. 자막을 넣고 싶어 가사를 찾아 어느... 배경 화면은 John Ford(존 포드)감독의 영화 'My Darling Clementine'이다.마땅한 영상이 없어 이...",2010-09-14,2010,9,14,"화"
